Path to db: D:\VUZAKA\case\Programm\main_util_c\main_util_c\lichess_db_standard_rated_2013-05(1).pgn
Name/nick-name of player (suspect): all_for_science
Path to engine: D:\VUZAKA\case\Programm\stockfish_15_win_x64_popcnt\stockfish_15_x64_popcnt.exe
Engine: Count of CPU threads: 4
Engine: Count of lines: 4
Engine: Hash size: 3072 MB
Engine: Move time: 2 sec
Search (filter): Type of games: Blitz
Search (filter): Min rating: 1700
Search(filter): Max rating:  1900
Search(filter): Max count of moves: 150
Search(filter): Max count of games: 80

{11_p, 2_n, 4_b, X_r, X_q}: accuracy = 6.250000, count = 2
{11_p, 2_n, X_b, 4_r, 1_q}: accuracy = 0.000000, count = 3
{11_p, 2_n, X_b, 4_r, 2_q}: accuracy = 5.357143, count = 7
{11_p, 2_n, X_b, 4_r, X_q}: accuracy = 3.750000, count = 10
{11_p, 2_n, X_b, X_r, 1_q}: accuracy = 0.000000, count = 3
{11_p, 2_n, X_b, X_r, 2_q}: accuracy = 5.357143, count = 7
{11_p, 2_n, X_b, X_r, X_q}: accuracy = 3.750000, count = 10
{11_p, 3_n, 3_b, 4_r, 2_q}: accuracy = 45.833336, count = 3
{11_p, 3_n, 3_b, 4_r, X_q}: accuracy = 45.833336, count = 3
{11_p, 3_n, 3_b, X_r, 2_q}: accuracy = 45.833336, count = 3
{11_p, 3_n, 3_b, X_r, X_q}: accuracy = 45.833336, count = 3
{11_p, 3_n, X_b, 4_r, 2_q}: accuracy = 45.833336, count = 3
{11_p, 3_n, X_b, 4_r, X_q}: accuracy = 45.833336, count = 3
{11_p, 3_n, X_b, X_r, 2_q}: accuracy = 45.833336, count = 3
{11_p, 3_n, X_b, X_r, X_q}: accuracy = 45.833336, count = 3
{11_p, X_n, 0_b, 3_r, 0_q}: accuracy = 62.500000, count = 13
{11_p, X_n, 0_b, 3_r, X_q}: accuracy = 62.500000, count = 13
{11_p, X_n, 0_b, X_r, 0_q}: accuracy = 62.500000, count = 13
{11_p, X_n, 0_b, X_r, X_q}: accuracy = 62.500000, count = 13
{11_p, X_n, 2_b, 4_r, 1_q}: accuracy = 0.000000, count = 45
{11_p, X_n, 2_b, 4_r, 2_q}: accuracy = 5.000000, count = 5
{11_p, X_n, 2_b, 4_r, X_q}: accuracy = 0.500000, count = 50
{11_p, X_n, 2_b, X_r, 1_q}: accuracy = 0.000000, count = 45
{11_p, X_n, 2_b, X_r, 2_q}: accuracy = 5.000000, count = 5
{11_p, X_n, 2_b, X_r, X_q}: accuracy = 0.500000, count = 50
{11_p, X_n, 3_b, 4_r, 2_q}: accuracy = 45.833336, count = 3
{11_p, X_n, 3_b, 4_r, X_q}: accuracy = 45.833336, count = 3
{11_p, X_n, 3_b, X_r, 2_q}: accuracy = 45.833336, count = 3
